学号,姓名,楼群,楼号,楼层,宿舍号,性别,是否有车
115102020171,李俊,李苑,1,1,123,女,没有
115102020088,张楠,李苑,1,1,123,女,没有
115102020106,邱丹丹,李苑,1,1,124,女,有
115102020147,孙秀英,李苑,1,1,124,女,有
115102020184,李秀兰,李苑,1,1,124,女,有
115102020006,雷帅,李苑,1,1,124,女,没有
115052021095,周楠,李苑,1,2,201,男,有
115052021018,江鹏,李苑,1,2,201,男,有
115052021098,胡柳,李苑,1,2,201,男,有
115052021050,李琳,李苑,1,2,201,男,没有
115052021133,刘红霞,李苑,1,2,202,男,有
115052021029,简健,李苑,1,2,202,男,没有
115052021054,刘坤,李苑,1,2,202,男,有
115052021046,黄坤,李苑,1,2,202,男,有
115002021022,王倩,李苑,1,2,203,男,没有
115002021179,郑云,李苑,1,2,203,男,没有
115002021061,李鑫,李苑,1,2,203,男,没有
115002021160,李莉,李苑,1,2,203,男,有
115072021079,贺淑兰,李苑,1,2,204,男,没有
115072021050,顾玉英,李苑,1,2,204,男,没有
115072021146,郭建国,李苑,1,2,204,男,没有
115072021162,祝莹,李苑,1,2,204,男,有
115062021168,陈磊,李苑,1,2,205,男,没有
115062021004,詹勇,李苑,1,2,205,男,有
115062021152,唐金凤,李苑,1,2,205,男,没有
115062021052,王亮,李苑,1,2,205,男,没有
115092021012,薛桂珍,李苑,1,2,206,男,没有
115092021024,张秀芳,李苑,1,2,206,男,没有
115092021079,武秀兰,李苑,1,2,206,男,有
115092021149,李涛,李苑,1,2,206,男,没有
115042021134,李瑞,李苑,1,2,207,男,没有
115042021018,郭凤兰,李苑,1,2,207,男,没有
115042021008,谢柳,李苑,1,2,207,男,没有
115042021095,陈华,李苑,1,2,207,男,有
115052021061,徐玉珍,李苑,1,2,208,男,有
115052021001,姜帅,李苑,1,2,208,男,没有
115052021133,李阳,李苑,1,2,208,男,有
115052021180,杨桂香,李苑,1,2,208,男,没有
115002021007,玉英,李苑,1,2,209,男,没有
115002021139,黄淑珍,李苑,1,2,209,男,没有
115002021058,黄利,李苑,1,2,209,男,没有
115002021133,伍淑英,李苑,1,2,209,男,没有
115002021152,彭帆,李苑,1,2,210,男,没有
115002021152,廖梅,李苑,1,2,210,男,有
115002021116,马芳,李苑,1,2,210,男,有
115002021128,侯丹丹,李苑,1,2,210,男,有
115052021000,吴娟,李苑,1,2,211,男,没有
115052021178,吴春梅,李苑,1,2,211,男,没有
115052021040,管燕,李苑,1,2,211,男,有
115052021026,董峰,李苑,1,2,211,男,有
115102021028,程刚,李苑,1,2,212,男,没有
115102021022,黄杨,李苑,1,2,212,男,没有
115102021018,马楠,李苑,1,2,212,男,有
115102021147,罗华,李苑,1,2,212,男,有
115062021198,谢鹏,李苑,1,2,213,男,有
115062021159,向建华,李苑,1,2,213,男,没有
115062021179,黄莉,李苑,1,2,213,男,没有
115062021033,钟秀珍,李苑,1,2,213,男,没有
115062021028,张林,李苑,1,2,214,男,有
115062021150,陈洋,李苑,1,2,214,男,有
115062021156,余丽,李苑,1,2,214,男,没有
115062021017,王杰,李苑,1,2,214,男,有
115082021110,吕婷婷,李苑,1,2,215,男,没有
115082021152,麦金凤,李苑,1,2,215,男,没有
115082021126,阎平,李苑,1,2,215,男,没有
115082021137,韩金凤,李苑,1,2,215,男,没有
115072021179,柳芳,李苑,1,2,216,男,没有
115072021006,赵坤,李苑,1,2,216,男,有
115072021002,吴凯,李苑,1,2,216,男,有
115072021077,刘淑珍,李苑,1,2,216,男,没有
115072021168,周军,李苑,1,2,217,男,没有
115072021200,翟帅,李苑,1,2,217,男,没有
115072021124,覃志强,李苑,1,2,217,男,没有
115072021168,何慧,李苑,1,2,217,男,有
115032021113,白琴,李苑,1,2,218,男,有
115032021194,郭婷,李苑,1,2,218,男,有
115032021138,樊雪,李苑,1,2,218,男,有
115032021160,鲜淑兰,李苑,1,2,218,男,有
115022021149,李凤英,李苑,1,2,219,男,没有
115022021019,孟春梅,李苑,1,2,219,男,有
115022021151,严秀兰,李苑,1,2,219,男,没有
115022021080,吴俊,李苑,1,2,219,男,有
115032021055,陈帆,李苑,1,2,220,男,有
115032021020,屈慧,李苑,1,2,220,男,有
115032021177,王红梅,李苑,1,2,220,男,没有
115032021086,潘坤,李苑,1,2,220,男,有
115002021060,王燕,李苑,1,2,221,男,有
115002021038,黄坤,李苑,1,2,221,男,没有
115002021182,栗琴,李苑,1,2,221,男,没有
115002021134,傅凤英,李苑,1,2,221,男,没有
115002021165,李艳,李苑,1,2,222,男,有
115002021034,叶欢,李苑,1,2,222,男,有
115002021120,陈建,李苑,1,2,222,男,有
115002021132,侯勇,李苑,1,2,222,男,有
115072021154,胡建平,李苑,1,2,223,男,没有
115072021194,李建,李苑,1,2,223,男,没有
115072021191,何建,李苑,1,2,223,男,有
115072021063,季凯,李苑,1,2,223,男,没有
115102021182,赵浩,李苑,1,2,224,男,没有
115102021053,朱柳,李苑,1,2,224,男,有
115102021155,王鹏,李苑,1,2,224,男,有
115102021061,张文,李苑,1,2,224,男,有
115072020033,郭健,李苑,1,3,301,女,有
115072020068,黄欣,李苑,1,3,301,女,有
115072020167,赵亮,李苑,1,3,301,女,有
115072020001,关冬梅,李苑,1,3,301,女,没有
115042020198,郭秀华,李苑,1,3,302,女,没有
115042020099,马桂香,李苑,1,3,302,女,没有
115042020047,常想,李苑,1,3,302,女,没有
115042020189,孟佳,李苑,1,3,302,女,有
115092020029,韩桂芳,李苑,1,3,303,女,有
115092020135,廖红,李苑,1,3,303,女,没有
115092020110,王桂香,李苑,1,3,303,女,没有
115092020016,王博,李苑,1,3,303,女,没有
115042020047,唐丽,李苑,1,3,304,女,没有
115042020041,林旭,李苑,1,3,304,女,有
115042020149,徐秀云,李苑,1,3,304,女,有
115042020085,周桂香,李苑,1,3,304,女,没有
115102020023,谢文,李苑,1,3,305,女,有
115102020169,孙杨,李苑,1,3,305,女,没有
115102020126,侯萍,李苑,1,3,305,女,有
115102020197,李玉英,李苑,1,3,305,女,没有
115022020020,张芳,李苑,1,3,306,女,没有
115022020174,杨秀云,李苑,1,3,306,女,没有
115022020073,周玉英,李苑,1,3,306,女,没有
115022020188,朱畅,李苑,1,3,306,女,没有
115032020132,龚瑜,李苑,1,3,307,女,有
115032020005,毛敏,李苑,1,3,307,女,没有
115032020079,秦涛,李苑,1,3,307,女,有
115032020028,杜荣,李苑,1,3,307,女,没有
115022020038,韩桂芳,李苑,1,3,308,女,没有
115022020125,张林,李苑,1,3,308,女,有
115022020090,姜斌,李苑,1,3,308,女,有
115022020182,罗宁,李苑,1,3,308,女,没有
115082020097,黄桂芝,李苑,1,3,309,女,没有
115082020180,赵桂珍,李苑,1,3,309,女,有
115082020163,向岩,李苑,1,3,309,女,有
115082020109,赵帅,李苑,1,3,309,女,有
115072020097,杨桂荣,李苑,1,3,310,女,有
115072020061,张宁,李苑,1,3,310,女,没有
115072020183,徐建平,李苑,1,3,310,女,有
115072020083,陈涛,李苑,1,3,310,女,有
115072020079,詹雷,李苑,1,3,311,女,没有
115072020136,贺艳,李苑,1,3,311,女,没有
115072020161,赵波,李苑,1,3,311,女,没有
115072020155,何军,李苑,1,3,311,女,没有
115022020086,彭瑜,李苑,1,3,312,女,有
115022020199,吴明,李苑,1,3,312,女,有
115022020008,胡秀华,李苑,1,3,312,女,没有
115022020055,龙宇,李苑,1,3,312,女,有
115052020188,赖波,李苑,1,3,313,女,有
115052020036,李桂兰,李苑,1,3,313,女,没有
115052020104,杨龙,李苑,1,3,313,女,没有
115052020121,邓涛,李苑,1,3,313,女,没有
115062020065,石成,李苑,1,3,314,女,有
115062020147,陈秀兰,李苑,1,3,314,女,有
115062020101,江欣,李苑,1,3,314,女,没有
115062020082,张健,李苑,1,3,314,女,没有
115092020117,刘英,李苑,1,3,315,女,有
115092020136,张斌,李苑,1,3,315,女,有
115092020065,杨强,李苑,1,3,315,女,有
115092020181,杨琳,李苑,1,3,315,女,没有
115022020016,张宁,李苑,1,3,316,女,有
115022020076,祁辉,李苑,1,3,316,女,没有
115022020054,朱畅,李苑,1,3,316,女,没有
115022020146,喻冬梅,李苑,1,3,316,女,没有
115022020033,杨彬,李苑,1,3,317,女,没有
115022020025,公桂英,李苑,1,3,317,女,没有
115022020042,周云,李苑,1,3,317,女,没有
115022020088,赵桂香,李苑,1,3,317,女,没有
115002020011,李琳,李苑,1,3,318,女,有
115002020071,张娜,李苑,1,3,318,女,有
115002020112,郭丹丹,李苑,1,3,318,女,没有
115002020103,刘慧,李苑,1,3,318,女,没有
115102020168,陈慧,李苑,1,3,319,女,没有
115102020135,廖红霞,李苑,1,3,319,女,没有
115102020093,邱桂香,李苑,1,3,319,女,没有
115102020003,王淑华,李苑,1,3,319,女,没有
115072020157,张桂芳,李苑,1,3,320,女,有
115072020096,黄娜,李苑,1,3,320,女,有
115072020131,邬利,李苑,1,3,320,女,没有
115072020199,任瑜,李苑,1,3,320,女,有
115082020070,曾玉,李苑,1,3,321,女,没有
115082020062,罗涛,李苑,1,3,321,女,有
115082020093,刘东,李苑,1,3,321,女,没有
115082020042,陈婷,李苑,1,3,321,女,有
115072020011,单洁,李苑,1,3,322,女,没有
115072020001,廖畅,李苑,1,3,322,女,没有
115072020181,王梅,李苑,1,3,322,女,有
115072020006,陈璐,李苑,1,3,322,女,有
115052020135,姚波,李苑,1,3,323,女,没有
115052020022,张宁,李苑,1,3,323,女,有
115052020023,袁超,李苑,1,3,323,女,有
115052020127,安雪,李苑,1,3,323,女,有
115052020182,郑娟,李苑,1,3,324,女,有
115052020051,廖莹,李苑,1,3,324,女,有
115052020014,叶帆,李苑,1,3,324,女,有
115052020079,孙芳,李苑,1,3,324,女,没有
115072022127,孙秀芳,李苑,1,4,401,女,有
115072022063,张雷,李苑,1,4,401,女,有
115072022008,刘建,李苑,1,4,401,女,没有
115072022072,杨阳,李苑,1,4,401,女,有
115022022198,蒲芳,李苑,1,4,402,女,有
115022022157,钱玲,李苑,1,4,402,女,有
115022022035,杨健,李苑,1,4,402,女,有
115022022146,胡伟,李苑,1,4,402,女,没有
115102022102,罗浩,李苑,1,4,403,女,没有
115102022154,唐博,李苑,1,4,403,女,没有
115102022073,李坤,李苑,1,4,403,女,没有
115102022125,王娟,李苑,1,4,403,女,有
115062022183,张燕,李苑,1,4,404,女,有
115062022124,杨华,李苑,1,4,404,女,没有
115062022154,张玉华,李苑,1,4,404,女,没有
115062022046,连辉,李苑,1,4,404,女,有
115092022173,赵建华,李苑,1,4,405,女,有
115092022037,周佳,李苑,1,4,405,女,有
115092022074,蓝秀云,李苑,1,4,405,女,有
115092022051,贾淑华,李苑,1,4,405,女,有
115002022049,宋桂珍,李苑,1,4,406,女,没有
115002022106,杨明,李苑,1,4,406,女,没有
115002022020,袁林,李苑,1,4,406,女,有
115002022001,刘超,李苑,1,4,406,女,有
115102022124,张建平,李苑,1,4,407,女,没有
115102022050,王想,李苑,1,4,407,女,有
115102022172,沙涛,李苑,1,4,407,女,没有
115102022000,高秀荣,李苑,1,4,407,女,没有
115002022157,刘洁,李苑,1,4,408,女,有
115002022166,赵洋,李苑,1,4,408,女,没有
115002022190,刘琴,李苑,1,4,408,女,有
115002022162,黄军,李苑,1,4,408,女,有
115072022106,李淑珍,李苑,1,4,409,女,有
115072022195,苗婷,李苑,1,4,409,女,有
115072022051,李凯,李苑,1,4,409,女,有
115072022089,史云,李苑,1,4,409,女,有
115102022178,陈彬,李苑,1,4,410,女,有
115102022112,梁琳,李苑,1,4,410,女,有
115102022020,包健,李苑,1,4,410,女,有
115102022025,成勇,李苑,1,4,410,女,有
115012022036,曹洋,李苑,1,4,411,女,有
115012022109,周梅,李苑,1,4,411,女,有
115012022164,秦静,李苑,1,4,411,女,有
115012022034,苏冬梅,李苑,1,4,411,女,没有
115042022014,汪文,李苑,1,4,412,女,没有
115042022191,潘冬梅,李苑,1,4,412,女,有
115042022141,张红霞,李苑,1,4,412,女,没有
115042022054,崔兵,李苑,1,4,412,女,没有
115072022011,方涛,李苑,1,4,413,女,有
115072022013,李强,李苑,1,4,413,女,有
115072022167,苏平,李苑,1,4,413,女,有
115072022072,刘霞,李苑,1,4,413,女,没有
115102022171,周倩,李苑,1,4,414,女,没有
115102022050,杨桂花,李苑,1,4,414,女,有
115102022133,王勇,李苑,1,4,414,女,有
115102022190,张秀华,李苑,1,4,414,女,有
115022022055,刘平,李苑,1,4,415,女,有
115022022008,王丽华,李苑,1,4,415,女,没有
115022022101,秦云,李苑,1,4,415,女,有
115022022123,张敏,李苑,1,4,415,女,没有
115032022109,王静,李苑,1,4,416,女,没有
115032022028,程丹丹,李苑,1,4,416,女,没有
115032022125,张兰英,李苑,1,4,416,女,没有
115032022033,邱桂芝,李苑,1,4,416,女,没有
115012022118,邱秀兰,李苑,1,4,417,女,有
115012022138,袁飞,李苑,1,4,417,女,没有
115012022183,洪勇,李苑,1,4,417,女,有
115012022013,赖淑珍,李苑,1,4,417,女,有
115072022150,王瑜,李苑,1,4,418,女,没有
115072022002,许桂英,李苑,1,4,418,女,有
115072022098,孙刚,李苑,1,4,418,女,有
115072022159,商荣,李苑,1,4,418,女,有
115082022028,杨玉英,李苑,1,4,419,女,有
115082022178,王雷,李苑,1,4,419,女,有
115082022147,徐俊,李苑,1,4,419,女,没有
115082022169,陈玲,李苑,1,4,419,女,有
115042022179,马英,李苑,1,4,420,女,没有
115042022086,姜雪梅,李苑,1,4,420,女,没有
115042022139,周佳,李苑,1,4,420,女,没有
115042022177,蔡健,李苑,1,4,420,女,有
115052022176,郭金凤,李苑,1,4,421,女,没有
115052022114,张淑华,李苑,1,4,421,女,没有
115052022080,梁勇,李苑,1,4,421,女,没有
115052022054,吴波,李苑,1,4,421,女,没有
115072022147,谢秀兰,李苑,1,4,422,女,没有
115072022069,张欢,李苑,1,4,422,女,有
115072022200,单超,李苑,1,4,422,女,没有
115072022070,赵桂芳,李苑,1,4,422,女,有
115032022047,欧阳瑞,李苑,1,4,423,女,没有
115032022134,李桂芳,李苑,1,4,423,女,有
115032022192,袁磊,李苑,1,4,423,女,没有
115032022144,高玉英,李苑,1,4,423,女,有
115022022033,冯飞,李苑,1,4,424,女,有
115022022022,刘琴,李苑,1,4,424,女,有
115022022185,刘云,李苑,1,4,424,女,没有
115022022183,黄浩,李苑,1,4,424,女,没有
105022020190,蔡林,李苑,2,1,101,男,没有
105022020008,陆浩,李苑,2,1,101,男,有
105022020003,岳利,李苑,2,1,101,男,有
105022020100,袁娟,李苑,2,1,101,男,有
105002020011,赵洁,李苑,2,1,102,男,有
105002020104,邸佳,李苑,2,1,102,男,有
105002020038,侯斌,李苑,2,1,102,男,有
105002020038,耿雪,李苑,2,1,102,男,没有
105062020151,郭艳,李苑,2,1,103,男,没有
105062020090,李桂荣,李苑,2,1,103,男,没有
105062020059,曾桂芳,李苑,2,1,103,男,有
105062020192,杨桂珍,李苑,2,1,103,男,有
105062020045,程成,李苑,2,1,104,男,有
105062020052,文慧,李苑,2,1,104,男,有
105062020103,苏凤英,李苑,2,1,104,男,有
105062020054,曹宇,李苑,2,1,104,男,没有
105092020161,姜想,李苑,2,1,105,男,有
105092020111,谭红霞,李苑,2,1,105,男,有
105092020080,萧玉梅,李苑,2,1,105,男,有
105092020078,杨英,李苑,2,1,105,男,没有
105072020154,刘海燕,李苑,2,1,106,男,有
105072020177,张梅,李苑,2,1,106,男,有
105072020049,李明,李苑,2,1,106,男,没有
105072020173,王秀梅,李苑,2,1,106,男,没有
105052020053,赵燕,李苑,2,1,107,男,有
105052020009,王红,李苑,2,1,107,男,有
105052020000,金玉,李苑,2,1,107,男,有
105052020101,宁莹,李苑,2,1,107,男,有
105092020011,徐凤兰,李苑,2,1,108,男,没有
105092020120,何凯,李苑,2,1,108,男,没有
105092020069,商英,李苑,2,1,108,男,有
105092020198,闵芳,李苑,2,1,108,男,没有
105072020116,段建平,李苑,2,1,109,男,没有
105072020110,鲜淑华,李苑,2,1,109,男,没有
105072020140,陈伟,李苑,2,1,109,男,有
105072020003,郭玉梅,李苑,2,1,109,男,有
105022020038,马桂英,李苑,2,1,110,男,有
105022020187,马秀兰,李苑,2,1,110,男,有
105022020036,刘淑兰,李苑,2,1,110,男,没有
105022020041,黄桂花,李苑,2,1,110,男,没有
105052020145,宋林,李苑,2,1,111,男,有
105052020139,鞠佳,李苑,2,1,111,男,没有
105052020192,李文,李苑,2,1,111,男,有
105052020010,刘金凤,李苑,2,1,111,男,有
105032020191,王凤兰,李苑,2,1,112,男,没有
105032020185,张建军,李苑,2,1,112,男,没有
105032020150,刘云,李苑,2,1,112,男,有
105032020091,马欢,李苑,2,1,112,男,有
105022020047,刘辉,李苑,2,1,113,男,没有
105022020012,魏东,李苑,2,1,113,男,有
105022020138,周丽丽,李苑,2,1,113,男,没有
105022020009,王梅,李苑,2,1,113,男,有
105042020111,董英,李苑,2,1,114,男,有
105042020086,吴杨,李苑,2,1,114,男,有
105042020021,张洋,李苑,2,1,114,男,没有
105042020030,邢红梅,李苑,2,1,114,男,没有
105052020013,薛桂英,李苑,2,1,115,男,有
105052020028,傅伟,李苑,2,1,115,男,没有
105052020177,杨秀英,李苑,2,1,115,男,有
105052020087,黄欣,李苑,2,1,115,男,有
105032020173,高丹丹,李苑,2,1,116,男,没有
105032020158,唐瑞,李苑,2,1,116,男,有
105032020072,张红,李苑,2,1,116,男,没有
105032020043,贾丽丽,李苑,2,1,116,男,有
105102020125,王莹,李苑,2,1,117,男,有
105102020107,薛颖,李苑,2,1,117,男,有
105102020164,刘建国,李苑,2,1,117,男,没有
105102020022,阮娜,李苑,2,1,117,男,有
105082020177,云辉,李苑,2,1,118,男,没有
105082020056,党云,李苑,2,1,118,男,有
105082020022,林建华,李苑,2,1,118,男,没有
105082020045,曾洁,李苑,2,1,118,男,没有
105072020144,赵雷,李苑,2,1,119,男,有
105072020017,孙坤,李苑,2,1,119,男,没有
105072020168,陈平,李苑,2,1,119,男,没有
105072020191,张桂珍,李苑,2,1,119,男,没有
105092020051,钱玲,李苑,2,1,120,男,有
105092020068,杜桂花,李苑,2,1,120,男,没有
105092020105,张莹,李苑,2,1,120,男,有
105092020017,曾金凤,李苑,2,1,120,男,没有
105002020158,郭建国,李苑,2,1,121,男,有
105002020025,刘玉英,李苑,2,1,121,男,有
105002020012,何丹,李苑,2,1,121,男,没有
105002020091,李建国,李苑,2,1,121,男,有
105012020028,刁伟,李苑,2,1,122,男,有
105012020041,李帆,李苑,2,1,122,男,没有
105012020039,赖伟,李苑,2,1,122,男,有
105012020110,席博,李苑,2,1,122,男,有
105052020190,赵洁,李苑,2,1,123,男,没有
105052020178,叶建,李苑,2,1,123,男,有
105052020109,王桂花,李苑,2,1,123,男,没有
105052020051,刘洋,李苑,2,1,123,男,有
105022020160,王玲,李苑,2,1,124,男,有
105022020070,武璐,李苑,2,1,124,男,有
105022020030,单健,李苑,2,1,124,男,有
105022020099,艾颖,李苑,2,1,124,男,有
105022022161,邹桂珍,李苑,2,2,201,女,有
105022022058,黄梅,李苑,2,2,201,女,有
105022022123,丁峰,李苑,2,2,201,女,有
105022022009,周晶,李苑,2,2,201,女,有
105102022084,刘宇,李苑,2,2,202,女,没有
105102022174,向敏,李苑,2,2,202,女,没有
105102022141,刘雪,李苑,2,2,202,女,没有
105102022114,游冬梅,李苑,2,2,202,女,有
105062022193,韩娟,李苑,2,2,203,女,没有
105062022113,戴红,李苑,2,2,203,女,有
105062022062,赵金凤,李苑,2,2,203,女,没有
105062022032,徐柳,李苑,2,2,203,女,没有
105022022099,林桂芝,李苑,2,2,204,女,有
105022022109,彭桂香,李苑,2,2,204,女,没有
105022022135,陈凤英,李苑,2,2,204,女,有
105022022176,常俊,李苑,2,2,204,女,有
105072022109,黄彬,李苑,2,2,205,女,没有
105072022162,王东,李苑,2,2,205,女,没有
105072022138,赵桂珍,李苑,2,2,205,女,有
105072022170,王雪,李苑,2,2,205,女,有
105052022099,刘冬梅,李苑,2,2,206,女,有
105052022140,晋静,李苑,2,2,206,女,有
105052022085,骆春梅,李苑,2,2,206,女,没有
105052022021,刘建华,李苑,2,2,206,女,没有
105012022046,胡萍,李苑,2,2,207,女,没有
105012022066,黄红梅,李苑,2,2,207,女,没有
105012022065,徐金凤,李苑,2,2,207,女,没有
105012022090,朱秀珍,李苑,2,2,207,女,没有
105072022052,范倩,李苑,2,2,208,女,有
105072022122,郭琴,李苑,2,2,208,女,有
105072022053,薛飞,李苑,2,2,208,女,没有
105072022171,曹军,李苑,2,2,208,女,有
105072022071,岑秀云,李苑,2,2,209,女,没有
105072022077,田小红,李苑,2,2,209,女,有
105072022169,李春梅,李苑,2,2,209,女,有
105072022184,支兵,李苑,2,2,209,女,有
105052022076,张瑞,李苑,2,2,210,女,有
105052022077,丁丽娟,李苑,2,2,210,女,有
105052022002,刘秀英,李苑,2,2,210,女,有
105052022165,王佳,李苑,2,2,210,女,没有
105062022124,曹岩,李苑,2,2,211,女,有
105062022141,兰伟,李苑,2,2,211,女,有
105062022032,王瑞,李苑,2,2,211,女,没有
105062022064,吴璐,李苑,2,2,211,女,有
105032022102,陈金凤,李苑,2,2,212,女,没有
105032022025,邓亮,李苑,2,2,212,女,没有
105032022191,阎桂英,李苑,2,2,212,女,有
105032022011,李晨,李苑,2,2,212,女,有
105042022126,季丽,李苑,2,2,213,女,有
105042022060,庞平,李苑,2,2,213,女,有
105042022157,钟玉华,李苑,2,2,213,女,没有
105042022100,王桂芝,李苑,2,2,213,女,有
105072022005,王红霞,李苑,2,2,214,女,有
105072022073,南霞,李苑,2,2,214,女,有
105072022157,李丽华,李苑,2,2,214,女,没有
105072022157,陈明,李苑,2,2,214,女,没有
105102022181,鲁春梅,李苑,2,2,215,女,有
105102022060,樊杨,李苑,2,2,215,女,有
105102022105,刘明,李苑,2,2,215,女,有
105102022121,齐淑英,李苑,2,2,215,女,没有
105032022192,路龙,李苑,2,2,216,女,有
105032022124,智洁,李苑,2,2,216,女,没有
105032022079,刘坤,李苑,2,2,216,女,有
105032022026,李勇,李苑,2,2,216,女,有
105012022176,刘鹏,李苑,2,2,217,女,没有
105012022066,韦博,李苑,2,2,217,女,有
105012022094,李岩,李苑,2,2,217,女,没有
105012022183,王晶,李苑,2,2,217,女,有
105032022014,蔡洋,李苑,2,2,218,女,没有
105032022130,陈兵,李苑,2,2,218,女,有
105032022059,张建平,李苑,2,2,218,女,没有
105032022027,马阳,李苑,2,2,218,女,有
105102022087,侯凯,李苑,2,2,219,女,没有
105102022103,冯桂英,李苑,2,2,219,女,没有
105102022151,颜琴,李苑,2,2,219,女,没有
105102022166,鄢伟,李苑,2,2,219,女,没有
105052022181,许杰,李苑,2,2,220,女,有
105052022166,张旭,李苑,2,2,220,女,没有
105052022077,周成,李苑,2,2,220,女,没有
105052022000,黄成,李苑,2,2,220,女,有
105072022071,银凤兰,李苑,2,2,221,女,有
105072022002,王婷婷,李苑,2,2,221,女,有
105072022038,孙婷婷,李苑,2,2,221,女,有
105072022158,顾晶,李苑,2,2,221,女,没有
105022022037,刘玉珍,李苑,2,2,222,女,有
105022022138,鲁建军,李苑,2,2,222,女,没有
105022022168,孙超,李苑,2,2,222,女,没有
105022022025,黄桂芝,李苑,2,2,222,女,没有
105022022153,马琳,李苑,2,2,223,女,没有
105022022148,胡宁,李苑,2,2,223,女,没有
